Last Name,First Name,Middle Initial,Date of Birth,Gender,Cell Phone,Email Address,Street Address,City,State,ZIP Code,Emergency Contact Name,Relationship,Phone Number,Primary Insurance Company,Member ID,Group Number,Secondary Insurance Company,Secondary Member ID,Secondary Group Number
Smith,John,,1990-05-15,Male,555-123-4567,john.smith@email.com,123 Main St,New York,NY,10001,Jane Smith,Spouse,555-123-4568,BlueCross,BC123456,GRP001,,,
Johnson,Emily,,1985-08-22,Female,555-234-5678,emily.johnson@email.com,456 Oak Ave,Los Angeles,CA,90001,Mark Johnson,Parent,555-234-5679,Aetna,AE789012,GRP002,UnitedHealthcare,UH345678,GRP003
Brown,Michael,,1992-03-10,Male,555-345-6789,michael.brown@email.com,789 Pine Rd,Chicago,IL,60601,Sarah Brown,Sibling,555-345-6790,Cigna,CI456789,GRP004,,,
Davis,Sarah,,1988-11-30,Female,555-456-7890,sarah.davis@email.com,101 Elm St,Houston,TX,77002,David Davis,Spouse,555-456-7891,Humana,HU901234,GRP005,,,
Wilson,David,,1995-07-14,Male,555-567-8901,david.wilson@email.com,202 Maple Dr,Miami,FL,33101,Lisa Wilson,Parent,555-567-8902,BlueCross,BC234567,GRP006,,,
Taylor,Linda,,1987-09-20,Female,555-678-9012,linda.taylor@email.com,303 Birch Ln,Seattle,WA,98101,Tom Taylor,Spouse,555-678-9013,Aetna,AE901234,GRP007,,,
Anderson,Robert,,1993-12-05,Male,555-789-0123,robert.anderson@email.com,404 Cedar Ave,Denver,CO,80201,Jennifer Anderson,Sibling,555-789-0124,Cigna,CI567890,GRP008,,,
Martinez,Maria,,1984-04-18,Female,555-890-1234,maria.martinez@email.com,505 Spruce St,Phoenix,AZ,85001,Carlos Martinez,Parent,555-890-1235,Humana,HU345678,GRP009,,,
Garcia,Juan,,1991-06-25,Male,555-901-2345,juan.garcia@email.com,606 Walnut Dr,San Diego,CA,92101,Ana Garcia,Spouse,555-901-2346,BlueCross,BC567890,GRP010,,,
Rodriguez,Laura,,1989-10-12,Female,555-012-3456,laura.rodriguez@email.com,707 Ash St,Dallas,TX,75201,Luis Rodriguez,Parent,555-012-3457,Aetna,AE456789,GRP011,,,
Hernandez,Carlos,,1994-02-28,Male,555-123-4560,carlos.hernandez@email.com,808 Pine St,Austin,TX,78701,Maria Hernandez,Sibling,555-123-4561,Cigna,CI901234,GRP012,,,
Lopez,Sofia,,1986-08-15,Female,555-234-5670,sofia.lopez@email.com,909 Oak Dr,Portland,OR,97201,Jose Lopez,Spouse,555-234-5671,Humana,HU678901,GRP013,,,
Gonzalez,Antonio,,1990-11-03,Male,555-345-6780,antonio.gonzalez@email.com,1010 Elm St,San Antonio,TX,78201,Carmen Gonzalez,Parent,555-345-6781,BlueCross,BC890123,GRP014,,,
Perez,Anna,,1983-03-22,Female,555-456-7892,anna.perez@email.com,1111 Maple Ln,Raleigh,NC,27601,Pedro Perez,Sibling,555-456-7893,Aetna,AE234567,GRP015,,,
Sanchez,Jose,,1996-07-09,Male,555-567-8903,jose.sanchez@email.com,1212 Birch Ave,Columbus,OH,43201,Maria Sanchez,Spouse,555-567-8904,Cigna,CI345678,GRP016,,,
Ramirez,Julia,,1988-12-17,Female,555-678-9014,julia.ramirez@email.com,1313 Cedar St,Indianapolis,IN,46201,Carlos Ramirez,Parent,555-678-9015,Humana,HU901234,GRP017,,,
Torres,Manuel,,1992-04-30,Male,555-789-0125,manuel.torres@email.com,1414 Walnut Dr,Charlotte,NC,28201,Laura Torres,Sibling,555-789-0126,BlueCross,BC345678,GRP018,,,
Flores,Patricia,,1985-09-08,Female,555-890-1236,patricia.flores@email.com,1515 Ash St,Jacksonville,FL,32201,David Flores,Spouse,555-890-1237,Aetna,AE678901,GRP019,,,
Rivera,Daniel,,1993-01-14,Male,555-901-2347,daniel.rivera@email.com,1616 Pine Rd,Memphis,TN,38101,Susan Rivera,Parent,555-901-2348,Cigna,CI789012,GRP020,,,
Cruz,Elizabeth,,1987-06-21,Female,555-012-3458,elizabeth.cruz@email.com,1717 Oak Dr,Nashville,TN,37201,Michael Cruz,Sibling,555-012-3459,Humana,HU234567,GRP021,,,
Ortiz,Thomas,,1995-03-27,Male,555-123-4569,thomas.ortiz@email.com,1818 Elm St,Atlanta,GA,30301,Julia Ortiz,Spouse,555-123-4570,BlueCross,BC678901,GRP022,,,
Gutierrez,Margaret,,1984-10-05,Female,555-234-5671,margaret.gutierrez@email.com,1919 Maple Ln,Birmingham,AL,35201,Robert Gutierrez,Parent,555-234-5672,Aetna,AE901234,GRP023,,,
Morales,Paul,,1991-08-19,Male,555-345-6782,paul.morales@email.com,2020 Birch Ave,Louisville,KY,40201,Susan Morales,Sibling,555-345-6783,Cigna,CI234567,GRP024,,,
Diaz,Helen,,1989-12-03,Female,555-456-7893,helen.diaz@email.com,2121 Cedar St,Milwaukee,WI,53201,John Diaz,Spouse,555-456-7894,Humana,HU567890,GRP025,,,
Reyes,George,,1994-05-11,Male,555-567-8904,george.reyes@email.com,2222 Walnut Dr,Tucson,AZ,85701,Mary Reyes,Parent,555-567-8905,BlueCross,BC901234,GRP026,,,
Chavez,Lisa,,1986-02-16,Female,555-678-9015,lisa.chavez@email.com,2323 Ash St,Albuquerque,NM,87101,David Chavez,Sibling,555-678-9016,Aetna,AE345678,GRP027,,,
Mendoza,Ronald,,1990-07-24,Male,555-789-0126,ronald.mendoza@email.com,2424 Pine Rd, Fresno,CA,93701,Susan Mendoza,Spouse,555-789-0127,Cigna,CI678901,GRP028,,,
Castillo,Nancy,,1988-11-09,Female,555-890-1237,nancy.castillo@email.com,2525 Oak Dr,Sacramento,CA,95814,Mark Castillo,Parent,555-890-1238,Humana,HU890123,GRP029,,,
Munoz,Edward,,1993-04-02,Male,555-901-2348,edward.munoz@email.com,2626 Elm St,Omaha,NE,68101,Jane Munoz,Sibling,555-901-2349,BlueCross,BC234567,GRP030,,,
Romero,Donna,,1985-09-17,Female,555-012-3459,donna.romero@email.com,2727 Maple Ln,Wichita,KS,67201,Paul Romero,Spouse,555-012-3460,Aetna,AE567890,GRP031,,,
Fernandez,Keith,,1992-01-30,Male,555-123-4570,keith.fernandez@email.com,2828 Birch Ave,Arlington,TX,76001,Linda Fernandez,Parent,555-123-4571,Cigna,CI901234,GRP032,,,
Vega,Carol,,1987-06-08,Female,555-234-5672,carol.vega@email.com,2929 Cedar St,Virginia Beach,VA,23451,Tom Vega,Sibling,555-234-5673,Humana,HU345678,GRP033,,,
Jimenez,Roger,,1995-03-15,Male,555-345-6783,roger.jimenez@email.com,3030 Walnut Dr,Honolulu,HI,96801,Susan Jimenez,Spouse,555-345-6784,BlueCross,BC567890,GRP034,,,
Herrera,Janet,,1984-10-22,Female,555-456-7894,janet.herrera@email.com,3131 Ash St,Boise,ID,83701,David Herrera,Parent,555-456-7895,Aetna,AE789012,GRP035,,,
Moreno,Jerry,,1991-08-06,Male,555-567-8905,jerry.moreno@email.com,3232 Pine Rd,Spokane,WA,99201,Mary Moreno,Sibling,555-567-8906,Cigna,CI345678,GRP036,,,
Gallegos,Betty,,1989-12-14,Female,555-678-9016,betty.gallegos@email.com,3333 Oak Dr,Des Moines,IA,50301,John Gallegos,Spouse,555-678-9017,Humana,HU678901,GRP037,,,
Soto,Philip,,1994-05-20,Male,555-789-0127,philip.soto@email.com,3434 Elm St,Little Rock,AR,72201,Jane Soto,Parent,555-789-0128,BlueCross,BC890123,GRP038,,,
Ortega,Debra,,1986-02-27,Female,555-890-1238,debra.ortega@email.com,3535 Maple Ln,Tulsa,OK,74101,Paul Ortega,Sibling,555-890-1239,Aetna,AE234567,GRP039,,,
Silva,Howard,,1990-07-03,Male,555-901-2349,howard.silva@email.com,3636 Birch Ave,Baton Rouge,LA,70801,Susan Silva,Spouse,555-901-2350,Cigna,CI567890,GRP040,,,
